CO_NCM,CO_UNID,CO_SH6,CO_PPE,CO_PPI,CO_FAT_AGREG,CO_CUCI_ITEM,CO_CGCE_N3,CO_SIIT,CO_ISIC_CLASSE,CO_EXP_SUBSET,NO_NCM_POR,NO_NCM_ESP,NO_NCM_ING
29233000,10,292330,3181,3181,03,51481,240,2000,2011,1402,Perfluoroctanossulfonato de tetraetilamônio,Perfluoroctanossulfonato de tetraetilamonio,Tetraethylammonium perfluoroctanosulfonate
29234000,10,292340,3181,3181,03,51481,240,2000,2011,1402,Perfluoroctanossulfonato de didecildimetilamônio,Perfluoroctanossulfonato de didecildimetilamonio,Didecyldimethylammonium perfluoroctanosulfonate
29242500,10,292425,3181,3181,03,51479,240,2000,2011,1402,Alaclor (ISO),Alaclor (ISO),Alachlor (ISO)
29264000,10,292640,3181,3181,03,51484,240,2000,2011,1402,alfa-Fenilacetoacetonitrila,alfa-Fenilacetoacetonitrilo,alpha-Fenilacetoacetonitrilo
29306000,10,293060,3122,3122,03,51549,240,2000,2011,1402,"2-(N,N-Dietilamino)etanotiol","2-(N,N-Dietilamino)etanotiol","2-(N,N-diéthylamine)éthanethiol"
29307000,10,293070,3122,3122,03,51549,240,2000,2011,1402,Sulfeto de bis(2-hidroxietila) (tiodiglicol (DCI)),Sulfeto de bis(2-hidroxietila) (tiodiglicol (DCI)),Bis sulfide (2-hydroxyethyl) (thiodiglycol (DCI))
29308010,10,293080,3122,3122,03,51549,240,2000,2011,1402,Aldicarb,Aldicarb,Aldicarb
29308020,10,293080,3122,3122,03,51549,240,2000,2011,1402,Captafol,Captafol,Captafol
29308030,10,293080,3122,3122,03,51549,240,2000,2011,1402,Metamidofós,Metamidofos,Methamidophos
29313100,10,293131,3122,3122,03,5155,240,2000,2011,1402,Metilfosfonato de dimetila,Metilfosfonato de dimetila,Dimethyl methylphosphonate
03047400,10,030474,1380,1265,01,0344,324,4000,1020,2403,"Filés de merluzas e abroteas, congelados","Filets de merluza y abroteas, congelados","Fillets of hake and abrotea, frozen"
03047500,10,030475,1380,1263,01,0344,324,4000,1020,2403,"Filé de merluza-do-alasca (Theragra chalcogramma), congelado",Filete de merluza del alasca (theragra chalcogramma)com,"Fillet of hake from alasca(theragra chalcogramma),froze"
